                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.87719,                 1.5556,                 1.2015,                0.74172,                0.71244,                0.75631,                0.58768,                0.71607,                 1.2013,                 1.1121,             0.00032963,             0.00032963,             0.00032963
                      2,                0.72573,                0.87062,                 1.0944,                 0.7381,                0.76868,                0.79769,                0.65889,                0.63998,                 0.9862,                  1.078,              0.0006564,              0.0006564,              0.0006564
                      3,                0.71364,                0.78636,                  1.084,                0.71096,                0.71059,                0.74932,                0.60811,                0.66584,                 1.0078,                 1.1159,             0.00097657,             0.00097657,             0.00097657
                      4,                0.70427,                0.75822,                 1.0773,                0.75601,                 0.7714,                0.82125,                0.66887,                0.64837,                 0.7924,                 1.0779,              0.0009703,              0.0009703,              0.0009703
                      5,                0.69144,                0.70249,                 1.0678,                0.79742,                0.83809,                0.88954,                0.75035,                0.59842,                0.69064,                 1.0335,              0.0009604,              0.0009604,              0.0009604
                      6,                0.66332,                0.67228,                 1.0502,                0.84361,                0.84588,                0.90467,                0.76639,                0.56785,                0.60946,                0.99639,              0.0009505,              0.0009505,              0.0009505
                      7,                0.64605,                0.64461,                 1.0422,                0.86075,                0.90105,                 0.9417,                0.79469,                0.58055,                0.51953,                0.99874,              0.0009406,              0.0009406,              0.0009406
                      8,                0.62862,                0.61247,                 1.0333,                0.88487,                0.88362,                0.93992,                 0.8086,                0.55229,                0.50998,                 1.0001,              0.0009307,              0.0009307,              0.0009307
                      9,                0.61837,                 0.5928,                 1.0269,                0.81403,                0.88484,                0.92105,                0.79067,                0.55398,                 0.5622,                 1.0039,              0.0009208,              0.0009208,              0.0009208
                     10,                0.60343,                0.58295,                 1.0187,                0.86521,                 0.9075,                0.94086,                0.81598,                0.51973,                0.49747,                0.98626,              0.0009109,              0.0009109,              0.0009109
                     11,                0.59223,                0.57153,                 1.0152,                0.87546,                0.90036,                0.94153,                0.81885,                0.52138,                0.48425,                0.97228,               0.000901,               0.000901,               0.000901
                     12,                 0.5902,                0.55251,                 1.0127,                0.86517,                 0.8925,                  0.939,                0.82423,                0.52068,                0.50105,                 0.9698,              0.0008911,              0.0008911,              0.0008911
                     13,                0.57276,                0.53159,                 1.0001,                0.89235,                0.90148,                0.94813,                0.83889,                 0.4906,                0.45294,                0.94583,              0.0008812,              0.0008812,              0.0008812
                     14,                0.56875,                0.52899,                0.99695,                0.87315,                0.89541,                0.94107,                0.82923,                0.50633,                0.47012,                0.95042,              0.0008713,              0.0008713,              0.0008713
                     15,                0.56722,                0.52885,                0.99754,                0.89551,                0.90159,                0.94702,                0.83637,                0.49727,                0.43952,                0.95217,              0.0008614,              0.0008614,              0.0008614
                     16,                0.55743,                0.52201,                0.99204,                0.89011,                 0.9099,                0.94939,                 0.8453,                0.48696,                0.44277,                 0.9364,              0.0008515,              0.0008515,              0.0008515
                     17,                0.55229,                0.50641,                0.98689,                0.91302,                0.90788,                0.95548,                0.85095,                0.47808,                0.43125,                0.92749,              0.0008416,              0.0008416,              0.0008416
                     18,                0.53831,                0.49447,                0.97914,                0.89513,                 0.8966,                0.95188,                0.84999,                0.47357,                 0.4342,                0.93757,              0.0008317,              0.0008317,              0.0008317
                     19,                0.53332,                0.48035,                0.97736,                0.91069,                0.92425,                0.96268,                0.86321,                0.47259,                0.39845,                0.91928,              0.0008218,              0.0008218,              0.0008218
                     20,                0.52998,                0.47838,                0.97394,                0.89955,                0.90148,                0.95476,                0.85816,                0.46525,                0.44093,                0.93189,              0.0008119,              0.0008119,              0.0008119
                     21,                0.52172,                0.46897,                0.97127,                0.91109,                  0.927,                0.96203,                0.86545,                0.45446,                0.39172,                0.92722,               0.000802,               0.000802,               0.000802
                     22,                 0.5168,                0.46224,                0.96714,                0.91314,                0.91686,                0.95572,                0.86191,                0.45366,                0.39956,                0.92297,              0.0007921,              0.0007921,              0.0007921
                     23,                0.51176,                0.45387,                0.96432,                0.89967,                 0.9205,                0.95365,                0.86043,                0.44521,                0.40918,                0.91621,              0.0007822,              0.0007822,              0.0007822
                     24,                0.50562,                0.45144,                0.95881,                0.89945,                0.93154,                0.95784,                 0.8613,                0.45164,                0.39605,                 0.9293,              0.0007723,              0.0007723,              0.0007723
                     25,                0.49817,                0.44056,                0.95885,                0.89914,                0.92616,                0.96003,                0.86878,                0.44333,                0.39806,                0.90753,              0.0007624,              0.0007624,              0.0007624
                     26,                0.49856,                0.44454,                 0.9564,                0.89469,                 0.9312,                0.96087,                0.87156,                0.43725,                0.39192,                 0.9189,              0.0007525,              0.0007525,              0.0007525
                     27,                0.49392,                0.43252,                0.95606,                0.89146,                 0.9378,                0.95812,                0.87074,                0.43465,                0.38827,                0.90708,              0.0007426,              0.0007426,              0.0007426
                     28,                0.48844,                0.43076,                0.95078,                0.92523,                0.91535,                0.96186,                0.87574,                0.44042,                 0.3762,                0.91099,              0.0007327,              0.0007327,              0.0007327
                     29,                0.49342,                0.42756,                0.95162,                0.92091,                0.90827,                0.95864,                0.87352,                0.44106,                0.38854,                0.91105,              0.0007228,              0.0007228,              0.0007228
                     30,                0.48132,                0.41912,                0.94397,                 0.9013,                0.94836,                0.96255,                0.88253,                0.41081,                0.36476,                0.90156,              0.0007129,              0.0007129,              0.0007129
                     31,                0.47694,                0.41665,                0.94421,                0.92576,                0.92128,                0.96073,                0.88049,                0.41437,                 0.3681,                0.89996,               0.000703,               0.000703,               0.000703
                     32,                0.47452,                0.41095,                0.94149,                0.90361,                0.93499,                0.96288,                0.88092,                0.41685,                0.36219,                0.89249,              0.0006931,              0.0006931,              0.0006931
                     33,                0.46989,                0.40525,                0.93832,                0.91208,                0.92829,                0.95928,                0.88001,                0.40908,                0.36438,                0.89119,              0.0006832,              0.0006832,              0.0006832
                     34,                0.46572,                0.40036,                 0.9401,                0.92339,                0.93759,                 0.9668,                0.88643,                0.41933,                0.34875,                0.90586,              0.0006733,              0.0006733,              0.0006733
                     35,                0.46659,                0.40339,                 0.9411,                0.92001,                0.94031,                0.96641,                0.88844,                 0.4129,                0.35046,                 0.9073,              0.0006634,              0.0006634,              0.0006634
                     36,                0.46063,                0.39383,                0.93398,                0.92644,                0.93622,                0.96263,                0.88712,                0.40479,                0.34276,                0.88748,              0.0006535,              0.0006535,              0.0006535
                     37,                0.45917,                0.39443,                0.93362,                 0.9206,                0.92432,                0.95991,                0.88506,                 0.4065,                0.37307,                 0.8893,              0.0006436,              0.0006436,              0.0006436
                     38,                 0.4534,                0.38512,                0.92835,                0.93164,                0.92653,                0.96567,                0.88823,                0.39973,                0.34284,                0.87887,              0.0006337,              0.0006337,              0.0006337
                     39,                0.45198,                0.38467,                0.92837,                0.92812,                0.92727,                0.96336,                0.89222,                0.39649,                0.34936,                0.88607,              0.0006238,              0.0006238,              0.0006238
                     40,                0.44672,                0.37606,                0.92652,                0.91049,                0.93807,                0.96252,                0.89253,                0.39177,                0.36004,                 0.8734,              0.0006139,              0.0006139,              0.0006139
                     41,                0.44226,                0.37675,                0.92225,                0.92215,                0.93896,                0.96518,                0.89196,                0.38586,                0.33527,                0.87804,               0.000604,               0.000604,               0.000604
                     42,                0.44246,                0.37482,                0.92658,                0.90956,                0.94788,                0.96675,                0.89228,                0.38954,                 0.3387,                0.88599,              0.0005941,              0.0005941,              0.0005941
                     43,                0.43754,                0.36822,                0.92252,                0.91699,                 0.9428,                0.96412,                0.89178,                0.39214,                0.34226,                0.87956,              0.0005842,              0.0005842,              0.0005842
                     44,                0.43282,                0.36501,                  0.917,                0.93784,                0.92044,                0.96189,                0.89505,                0.37924,                0.33652,                  0.878,              0.0005743,              0.0005743,              0.0005743
                     45,                0.43104,                0.36083,                0.91638,                0.93074,                0.93529,                0.96423,                 0.8964,                0.39102,                0.32973,                0.88184,              0.0005644,              0.0005644,              0.0005644
                     46,                0.42508,                0.35425,                0.91157,                0.91998,                0.94198,                0.96425,                0.89755,                0.37773,                0.33664,                0.87127,              0.0005545,              0.0005545,              0.0005545
                     47,                 0.4204,                0.34915,                0.91115,                0.91348,                0.92537,                0.95859,                0.89033,                0.38749,                0.36771,                0.88722,              0.0005446,              0.0005446,              0.0005446
                     48,                0.42172,                0.35268,                0.91291,                0.91258,                0.93821,                 0.9654,                0.89874,                0.38093,                0.33619,                0.87793,              0.0005347,              0.0005347,              0.0005347
                     49,                0.41593,                0.34841,                0.90961,                0.92532,                0.93881,                0.96494,                0.89887,                0.37348,                0.32958,                0.88045,              0.0005248,              0.0005248,              0.0005248
                     50,                0.41795,                0.34279,                0.90906,                0.92544,                0.94354,                0.96803,                0.90445,                0.37344,                0.31994,                0.87082,              0.0005149,              0.0005149,              0.0005149
                     51,                0.41552,                0.34271,                0.90765,                0.92634,                0.94105,                0.96535,                 0.9015,                0.37598,                0.32347,                0.87124,               0.000505,               0.000505,               0.000505
                     52,                0.40961,                0.33949,                0.90436,                0.92583,                0.93488,                0.96328,                0.89958,                0.36802,                0.33342,                0.86569,              0.0004951,              0.0004951,              0.0004951
                     53,                0.40937,                0.33741,                0.90642,                0.92033,                0.94652,                  0.963,                0.90242,                0.36289,                0.32095,                0.86696,              0.0004852,              0.0004852,              0.0004852
                     54,                0.41171,                0.33588,                0.90732,                0.91866,                0.95364,                0.96776,                0.90739,                0.35993,                0.30728,                0.86233,              0.0004753,              0.0004753,              0.0004753
                     55,                0.40169,                0.32634,                 0.9004,                0.93194,                0.92825,                0.96445,                0.90427,                0.36229,                 0.3192,                0.86508,              0.0004654,              0.0004654,              0.0004654
                     56,                0.39975,                0.32848,                 0.9022,                0.92885,                0.94183,                0.96618,                0.90786,                0.35932,                0.32098,                 0.8647,              0.0004555,              0.0004555,              0.0004555
                     57,                0.39687,                0.32399,                 0.8987,                0.92112,                0.94371,                0.96556,                0.90637,                0.35979,                0.32329,                 0.8685,              0.0004456,              0.0004456,              0.0004456
                     58,                0.39466,                0.32095,                0.89907,                0.93955,                0.94924,                0.97014,                0.91072,                0.35666,                0.30257,                 0.8649,              0.0004357,              0.0004357,              0.0004357
                     59,                0.39975,                0.32399,                0.89981,                0.91521,                0.94687,                0.96414,                0.90497,                0.35617,                0.32653,                0.86134,              0.0004258,              0.0004258,              0.0004258
                     60,                0.39107,                0.31453,                 0.8967,                0.93277,                0.93379,                0.95903,                0.90061,                0.35596,                0.32845,                0.86799,              0.0004159,              0.0004159,              0.0004159
                     61,                0.39101,                0.31749,                0.89443,                0.90998,                0.94062,                0.95756,                0.89992,                0.35766,                0.35054,                0.85707,               0.000406,               0.000406,               0.000406
                     62,                0.38837,                 0.3129,                0.89263,                  0.935,                0.94137,                0.96261,                0.90381,                0.34817,                0.31741,                0.85302,              0.0003961,              0.0003961,              0.0003961
                     63,                0.38684,                0.31285,                0.89022,                0.93211,                0.94598,                0.96625,                0.91012,                0.34477,                0.30941,                0.84708,              0.0003862,              0.0003862,              0.0003862
                     64,                0.38377,                0.30745,                0.89159,                0.93623,                0.94134,                0.96627,                0.91332,                0.34269,                0.30547,                0.85442,              0.0003763,              0.0003763,              0.0003763
                     65,                0.38017,                0.30546,                0.89208,                 0.9286,                0.94876,                0.96214,                0.90784,                 0.3437,                0.32232,                0.86415,              0.0003664,              0.0003664,              0.0003664
                     66,                0.37759,                0.29835,                0.88947,                0.92366,                0.95119,                0.96387,                0.91047,                0.34514,                0.32073,                0.85775,              0.0003565,              0.0003565,              0.0003565
                     67,                0.38103,                0.30549,                0.89199,                0.92751,                0.94952,                0.96464,                0.90913,                 0.3478,                 0.3124,                0.86253,              0.0003466,              0.0003466,              0.0003466
                     68,                0.37883,                0.30199,                0.89146,                0.93349,                0.94756,                0.96369,                0.90858,                0.34563,                0.31965,                0.85102,              0.0003367,              0.0003367,              0.0003367
                     69,                0.37436,                0.29945,                0.88579,                0.93078,                0.94902,                0.96504,                0.91158,                0.34156,                0.31462,                0.85165,              0.0003268,              0.0003268,              0.0003268
                     70,                0.37131,                0.29402,                0.88695,                0.94583,                0.94023,                0.96629,                0.91418,                0.33483,                 0.3021,                0.85553,              0.0003169,              0.0003169,              0.0003169
                     71,                0.36908,                0.28966,                0.88503,                0.93926,                0.94206,                0.95913,                0.90427,                0.34686,                0.31944,                0.85719,               0.000307,               0.000307,               0.000307
                     72,                0.36931,                0.29086,                0.88215,                  0.936,                0.94679,                0.96643,                0.91399,                0.33462,                0.29908,                0.84914,              0.0002971,              0.0002971,              0.0002971
                     73,                0.36439,                0.28671,                0.88077,                0.93134,                0.93509,                0.95899,                0.90693,                0.33275,                0.32319,                0.85477,              0.0002872,              0.0002872,              0.0002872
                     74,                0.36408,                0.28972,                0.88255,                0.92662,                0.94798,                0.96364,                0.91474,                0.33354,                0.31212,                 0.8559,              0.0002773,              0.0002773,              0.0002773
                     75,                0.36398,                0.28465,                0.88095,                0.93369,                0.94449,                0.95999,                0.91086,                 0.3342,                 0.3115,                0.85277,              0.0002674,              0.0002674,              0.0002674
                     76,                0.35945,                0.28228,                0.87975,                0.92942,                 0.9434,                0.96315,                0.91189,                0.33282,                 0.3114,                0.85474,              0.0002575,              0.0002575,              0.0002575
                     77,                0.35999,                0.28276,                0.88089,                 0.9441,                0.94018,                0.96428,                  0.916,                0.33222,                0.31006,                0.85799,              0.0002476,              0.0002476,              0.0002476
                     78,                0.35536,                0.27902,                0.87865,                0.94825,                0.93076,                0.96347,                0.91558,                0.32418,                0.29768,                0.84963,              0.0002377,              0.0002377,              0.0002377
                     79,                0.35589,                0.27513,                0.87859,                 0.9403,                0.94199,                0.96414,                0.91403,                0.32456,                0.30123,                0.85119,              0.0002278,              0.0002278,              0.0002278
                     80,                0.35099,                 0.2712,                 0.8753,                0.93207,                0.94867,                0.96156,                0.91197,                 0.3273,                 0.3046,                0.84338,              0.0002179,              0.0002179,              0.0002179
                     81,                0.35043,                0.27047,                0.87585,                0.93841,                0.94243,                0.96225,                0.91426,                0.32694,                0.30362,                0.84881,               0.000208,               0.000208,               0.000208
                     82,                0.34627,                0.26701,                0.87531,                0.93586,                0.94347,                0.96354,                0.91687,                0.32141,                0.30213,                0.84724,              0.0001981,              0.0001981,              0.0001981
                     83,                0.34509,                0.26578,                0.87059,                0.93755,                0.94513,                0.95892,                 0.9115,                0.32666,                0.30931,                0.85415,              0.0001882,              0.0001882,              0.0001882
                     84,                0.34528,                0.26445,                0.87502,                0.92973,                0.94968,                0.95832,                 0.9108,                0.32351,                 0.3108,                0.84926,              0.0001783,              0.0001783,              0.0001783
                     85,                 0.3409,                0.26026,                 0.8716,                0.94572,                0.94223,                0.96277,                0.91727,                0.31841,                0.30403,                0.84114,              0.0001684,              0.0001684,              0.0001684
                     86,                0.34022,                0.26191,                0.87175,                 0.9338,                0.94457,                0.96236,                0.91562,                0.32053,                0.30171,                0.84524,              0.0001585,              0.0001585,              0.0001585
                     87,                 0.3398,                 0.2595,                0.87034,                0.94449,                0.93628,                0.95851,                0.91294,                0.31481,                0.30186,                0.84944,              0.0001486,              0.0001486,              0.0001486
                     88,                0.33736,                0.25797,                0.87258,                0.93966,                0.93642,                0.95894,                 0.9127,                0.31983,                0.31597,                0.85235,              0.0001387,              0.0001387,              0.0001387
                     89,                0.33342,                0.25441,                0.86902,                0.93544,                0.94707,                0.96014,                0.91632,                0.31245,                0.30588,                0.85067,              0.0001288,              0.0001288,              0.0001288
                     90,                0.33649,                 0.2539,                0.87125,                0.94463,                 0.9406,                0.96089,                0.91679,                0.31735,                0.30666,                0.85058,              0.0001189,              0.0001189,              0.0001189
                     91,                0.28438,                 0.2057,                0.84501,                0.93853,                 0.9449,                0.96134,                0.91528,                0.32262,                0.31212,                0.86115,               0.000109,               0.000109,               0.000109
                     92,                0.27238,                0.19502,                0.83895,                0.94547,                0.94058,                0.96178,                  0.918,                0.32371,                0.30651,                0.86457,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                0.26846,                0.19258,                0.83701,                0.94157,                 0.9414,                 0.9607,                0.91817,                0.31619,                0.30736,                0.85708,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                0.26657,                0.18947,                0.83661,                0.94035,                0.94323,                0.96167,                0.92043,                0.31069,                  0.301,                0.85508,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.26555,                0.18625,                0.83425,                0.94339,                0.94114,                0.95927,                0.91817,                0.31429,                0.30628,                0.85569,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.26081,                0.18351,                0.83246,                0.94204,                0.94482,                0.95971,                0.91837,                0.31389,                 0.3072,                0.85652,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                0.26014,                0.18233,                0.83041,                0.94265,                0.94427,                0.96039,                0.92032,                0.31203,                0.30122,                0.85026,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.25846,                0.18061,                0.83108,                0.93672,                0.94623,                0.95891,                0.91916,                0.30901,                0.30707,                0.85054,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                0.25338,                0.17581,                0.82995,                0.94215,                0.94288,                0.95931,                0.91992,                0.30639,                0.30718,                0.85088,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                0.25546,                 0.1765,                0.83113,                0.94146,                0.94558,                0.96065,                0.92039,                0.31021,                0.30086,                0.85377,               1.99e-05,               1.99e-05,               1.99e-05
